죄 종,발생건수,검거건수,"발생대비
검거건수(%)",검거인원,법인체,범죄 분류
살인기수,69,71,102.9,77,0,소분류
살인미수등,140,122,87.1,137,0,소분류
강도,136,131,96.3,190,0,소분류
강간,"1,314","1,301",99.0,"1,336",0,소분류
유사강간,233,227,97.4,229,0,소분류
강제추행,"3,991","3,796",95.1,"3,846",0,소분류
기타 강간/강제추행등,41,40,97.6,51,0,소분류
방화,245,226,92.2,216,0,소분류
상해,"5,316","5,159",97.0,"6,348",1,소분류
폭행,"28,538","27,788",97.4,"35,371",0,소분류
체포/감금,214,201,93.9,256,0,소분류
협박,"6,008","5,790",96.4,"6,112",0,소분류
약취/유인,76,76,100.0,123,1,소분류
폭력행위등,"1,421","1,349",94.9,"4,455",0,소분류
공갈,"1,689",621,36.8,760,0,소분류
손괴,"14,076","8,342",59.3,"8,728",7,소분류
직무유기,297,204,68.7,285,0,소분류
직권남용,516,275,53.3,572,1,소분류
증수뢰,67,82,122.4,229,3,소분류
통화,102,9,8.8,6,0,소분류
문서/인장,"3,059","2,494",81.5,"3,297",7,소분류
유가증권인지,12,9,75.0,17,0,소분류
사기,"88,651","49,815",56.2,"49,627",126,소분류
횡령,"17,410","8,077",46.4,"8,560",12,소분류
배임,931,935,100.4,"1,598",17,소분류
성풍속범죄,"4,607","4,084",88.6,"4,248",0,소분류
도박범죄,"1,795","1,740",96.9,"5,037",0,소분류
