이름,포지션,나이,국가,팀,선수 몸 값
Jude Bellingham,Attacking Midfield,20,England,Real Madrid,180.00
Erling Haaland,Centre-Forward,23,Norway,Manchester City,180.00
Kylian Mbappé,Centre-Forward,25,France,Paris Saint-Germain,180.00
Vinicius Junior,Left Winger,23,Brazil,Real Madrid,150.00
Bukayo Saka,Right Winger,22,England,Arsenal FC,130.00
Phil Foden,Right Winger,23,England,Manchester City,130.00
Florian Wirtz,Attacking Midfield,21,Germany,Bayer 04 Leverkusen,110.00
Jamal Musiala,Attacking Midfield,21,Germany,Bayern Munich,110.00
Lautaro Martínez,Centre-Forward,26,Argentina,Inter Milan,110.00
Victor Osimhen,Centre-Forward,25,Nigeria,SSC Napoli,110.00
Declan Rice,Defensive Midfield,25,England,Arsenal FC,110.00
Rodri,Defensive Midfield,27,Spain,Manchester City,110.00
Harry Kane,Centre-Forward,30,England,Bayern Munich,110.00
Rodrygo,Right Winger,23,Brazil,Real Madrid,100.00
Federico Valverde,Central Midfield,25,Uruguay,Real Madrid,100.00
Martin Ødegaard,Attacking Midfield,25,Norway,Arsenal FC,95.00
Gavi,Central Midfield,19,Spain,FC Barcelona,90.00
Eduardo Camavinga,Central Midfield,21,France,Real Madrid,90.00
Julián Álvarez,Second Striker,24,Argentina,Manchester City,90.00
Aurélien Tchouaméni,Defensive Midfield,24,France,Real Madrid,90.00
Rafael Leão,Left Winger,24,Portugal,AC Milan,90.00
Bruno Guimarães,Defensive Midfield,26,Brazil,Newcastle United,85.00
Moisés Caicedo,Defensive Midfield,22,Ecuador,Chelsea FC,80.00
Pedri,Central Midfield,21,Spain,FC Barcelona,80.00
Gabriel Martinelli,Left Winger,22,Brazil,Arsenal FC,80.00
Enzo Fernández,Central Midfield,23,Argentina,Chelsea FC,80.00
Xavi Simons,Attacking Midfield,21,Netherlands,RB Leipzig,80.00
Khvicha Kvaratskhelia,Left Winger,23,Georgia,SSC Napoli,80.00
William Saliba,Centre-Back,23,France,Arsenal FC,80.00
Rúben Dias,Centre-Back,27,Portugal,Manchester City,80.00
Bernardo Silva,Attacking Midfield,29,Portugal,Manchester City,80.00
Lamine Yamal,Right Winger,16,Spain,FC Barcelona,75.00
Luis Díaz,Left Winger,27,Colombia,Liverpool FC,75.00
Josko Gvardiol,Centre-Back,22,Croatia,Manchester City,75.00
Dominik Szoboszlai,Central Midfield,23,Hungary,Liverpool FC,75.00
Nicolò Barella,Central Midfield,27,Italy,Inter Milan,75.00
Darwin Núñez,Centre-Forward,24,Uruguay,Liverpool FC,70.00
Alexis Mac Allister,Central Midfield,25,Argentina,Liverpool FC,70.00
Ronald Araujo,Centre-Back,25,Uruguay,FC Barcelona,70.00
Douglas Luiz,Central Midfield,26,Brazil,Aston Villa,70.00
Éder Militão,Centre-Back,26,Brazil,Real Madrid,70.00
Gabriel Jesus,Centre-Forward,27,Brazil,Arsenal FC,70.00
Alexander Isak,Centre-Forward,24,Sweden,Newcastle United,70.00
Christopher Nkunku,Attacking Midfield,26,France,Chelsea FC,70.00
Frenkie de Jong,Central Midfield,27,Netherlands,FC Barcelona,70.00
Alessandro Bastoni,Centre-Back,25,Italy,Inter Milan,70.00
Trent Alexander-Arnold,Right-Back,25,England,Liverpool FC,70.00
James Maddison,Attacking Midfield,27,England,Tottenham Hotspur,70.00
Bruno Fernandes,Attacking Midfield,29,Portugal,Manchester United,70.00
Leroy Sané,Right Winger,28,Germany,Bayern Munich,70.00
